0x0022 \textquotedbl
0x0023 \#
0x0024 \$
0x0025 \%
0x0026 \&
0x003c \textless
0x003e \textgreater
0x005c \textbackslash
0x005e \^{}
0x005f \_
0x007b \{
0x007c \textbar
0x007d \}
0x007e \~{}
0x00a0 ~
0x00a1 !`
0x00a2 \textcent
0x00a3 \pounds
0x00a4 \textcurrency
0x00a5 \textyen
0x00a6 \textbrokenbar
0x00a7 \S
0x00a8 \textasciidieresis
0x00a9 \textcopyright
0x00aa \textordfeminine
0x00ab \guillemotleft
0x00ac \textlnot
0x00ad \-
0x00ae \textregistered
0x00af \textasciimacron
0x00b0 \textdegree
0x00b1 \textpm
0x00b2 \texttwosuperior
0x00b3 \textthreesuperior
0x00b4 \textasciiacute
0x00b5 \textmu
0x00b6 \P
0x00b7 \textperiodcentered
0x00b8 \c{}
0x00b9 \textonesuperior
0x00ba \textordmasculine
0x00bb \guillemotright
0x00bc \textonequarter
0x00bd \textonehalf
0x00be \textthreequarters
0x00bf ?`
0x00c0 \`A
0x00c1 \'A
0x00c2 \^A
0x00c3 \~A
0x00c4 \"A
0x00c5 \AA
0x00c6 \AE
0x00c7 \c{C}
0x00c8 \`E
0x00c9 \'E
0x00ca \^E
0x00cb \"E
0x00cc \`I
0x00cd \'I
0x00ce \^I
0x00cf \"I
0x00d0 \DH
0x00d1 \~N
0x00d2 \`O
0x00d3 \'O
0x00d4 \^O
0x00d5 \~O
0x00d6 \"O
0x00d7 \texttimes
0x00d8 \O
0x00d9 \`U
0x00da \'U
0x00db \^U
0x00dc \"U
0x00dd \'Y
0x00de \TH
0x00df \ss
0x00e0 \`a
0x00e1 \'a
0x00e2 \^a
0x00e3 \~a
0x00e4 \"a
0x00e5 \aa
0x00e6 \ae
0x00e7 \c{c}
0x00e8 \`e
0x00e9 \'e
0x00ea \^e
0x00eb \"e
0x00ec \`{\i}
0x00ed \'{\i}
0x00ee \^{\i}
0x00ef \"{\i}
0x00f0 \dh
0x00f1 \~n
0x00f2 \`o
0x00f3 \'o
0x00f4 \^o
0x00f5 \~o
0x00f6 \"o
0x00f7 \textdiv
0x00f8 \o
0x00f9 \`u
0x00fa \'u
0x00fb \^u
0x00fc \"u
0x00fd \'y
0x00fe \th
0x00ff \"y
0x0100 \=A
0x0101 \=a
0x0102 \u{A}
0x0103 \u{a}
0x0104 \k{A}
0x0105 \k{a}
0x0106 \'C
0x0107 \'c
0x0108 \^C
0x0109 \^c
0x010a \.C
0x010b \.c
0x010c \v{C}
0x010d \v{c}
0x010e \v{D}
0x010f \v{d}
0x0110 \DJ
0x0111 \dj
0x0112 \=E
0x0113 \=e
0x0114 \u{E}
0x0115 \u{e}
0x0116 \.E
0x0117 \.e
0x0118 \k{E}
0x0119 \k{e}
0x011a \v{E}
0x011b \v{e}
0x011c \^G
0x011d \^g
0x011e \u{G}
0x011f \u{g}
0x0120 \.G
0x0121 \.g
0x0122 \c{G}
0x0123 \c{g}
0x0124 \^H
0x0125 \^h
0x0126 \B{H}
0x0127 \b{h}
0x0128 \~I
0x0129 \~{\i}
0x012a \=I
0x012b \={\i}
0x012c \u{I}
0x012d \u{\i}
0x012e \k{I}
0x012f \k{i}
0x0130 \.I
0x0131 \i
0x0132 \IJ
0x0133 \ij
0x0134 \^J
0x0135 \^{\j}
0x0136 \c{K}
0x0137 \c{k}
0x0139 \'L
0x013a \'l
0x013b \c{L}
0x013c \c{l}
0x013d \v{L}
0x013e \v{l}
0x0141 \L
0x0142 \l
0x0143 \'N
0x0144 \'n
0x0145 \c{N}
0x0146 \c{n}
0x0147 \v{N}
0x0148 \v{n}
0x0149 'n
0x014a \NG
0x014b \ng
0x014c \=O
0x014d \=o
0x014e \u{O}
0x014f \u{o}
0x0150 \H{O}
0x0151 \H{o}
0x0152 \OE
0x0153 \oe
